#Line    Trace        X           Y           Time        Flag            FaultName 
1901   4150     575387.500    4208269.592       2212.600   16                    F01
1901   4122     575387.500    4207919.598       2379.200   16                    F01
1901   4085     575387.500    4207461.206       2607.000   16                    F01
1901   4057     575387.500    4207115.292       2744.200   16                    F01
1901   4032     575387.500    4206798.596       2864.200   16                    F01
1901   4005     575387.500    4206457.098       2999.000   16                    F01
1901   3974     575387.500    4206069.384       3136.200   16                    F01
1901   3924     575387.500    4205452.987       3337.000   16                    F01
1901   3885     575387.500    4204961.297       3471.800   16                    F01
1901   3847     575387.500    4204482.177       3638.400   16                    F01
1901   3809     575387.500    4204007.135       3746.200   16                    F01
1901   3795     575387.500    4203832.138       3785.400   16                    F01
1891   4368     575262.500    4211002.948       1134.800   17                    F01
1891   4349     575262.500    4210765.429       1210.600   17                    F01
1891   4330     575262.500    4210527.908       1284.200   17                    F01
1891   4310     575262.500    4210273.736       1343.000   17                    F01
1891   4295     575262.500    4210090.582       1384.600   17                    F01
1891   4282     575262.500    4209919.665       1450.800   17                    F01
1891   4263     575262.500    4209690.301       1534.000   17                    F01
1891   4244     575262.500    4209448.700       1627.200   17                    F01
1891   4222     575262.500    4209177.881       1705.400   17                    F01
1891   4207     575262.500    4208986.233       1781.400   17                    F01
1891   4187     575262.500    4208732.061       1911.200   17                    F01
1891   4166     575262.500    4208473.816       2041.000   17                    F01
1891   4135     575262.500    4208090.518       2222.400   17                    F01
1891   4103     575262.500    4207682.080       2416.000   17                    F01
1891   4073     575262.500    4207315.436       2597.200   17                    F01
1891   4046     575262.500    4206978.012       2763.800   17                    F01
1891   4002     575262.500    4206427.874       2979.200   17                    F01
1891   3977     575262.500    4206107.104       3082.000   17                    F01
1891   3954     575262.500    4205827.789       3192.400   17                    F01
1891   3928     575262.500    4205498.861       3288.000   17                    F01
1891   3899     575262.500    4205140.371       3408.000   17                    F01
1891   3872     575262.500    4204798.871       3523.200   17                    F01
1891   3833     575262.500    4204315.335       3662.800   17                    F01
1891   3801     575262.500    4203915.390       3775.600   17                    F01
1881   4358     575137.500    4210869.745       1127.400   18                    F01
1881   4338     575137.500    4210623.730       1203.400   18                    F01
1881   4317     575137.500    4210361.407       1269.400   18                    F01
1881   4300     575137.500    4210152.771       1313.600   18                    F01
1881   4285     575137.500    4209957.043       1394.400   18                    F01
1881   4268     575137.500    4209752.823       1477.600   18                    F01
1881   4250     575137.500    4209527.874       1563.400   18                    F01
1881   4227     575137.500    4209240.405       1663.800   18                    F01
1881   4203     575137.500    4208932.205       1766.800   18                    F01
1881   4185     575137.500    4208715.411       1859.800   18                    F01
1881   4164     575137.500    4208453.085       2004.400   18                    F01
1881   4136     575137.500    4208103.091       2156.400   18                    F01
1881   4116     575137.500    4207844.503       2288.600   18                    F01
1881   4091     575137.500    4207536.303       2450.200   18                    F01
1881   4063     575137.500    4207181.891       2636.600   18                    F01
1881   4031     575137.500    4206786.364       2824.800   18                    F01
1881   4002     575137.500    4206423.797       2979.200   18                    F01
1881   3977     575137.500    4206107.104       3087.200   18                    F01
